977,"Disc Title","Aladdin: The Return of Jafar",786936245769,"DVD",1994,tt0107952,69,"Toby Shelton, Tad Stones","Jonathan Freeman,Gilbert Gottfried,Jason Alexander,Scott Weinger,Linda Larkin,Jim Cummings,Frank Welker,Dan Castellaneta,Val Bettin,Brad Kane,Toby Shelton, Tad Stones,Jessica Koplos-Miller,Maia Mattise,Tad Stones,Alan Zaslove,Mark Watters,Mark Watters,Elen Orson,Kurt Anderson,Ryan Anthony,Donene Bailey,John Barrett,Dean Beville,Mike Chock,James Christopher",
1274,"Disc Title","Alexander and the Terrible, Horrible, No Good, Very Bad Day",786936842821,"DVD",2014,tt1698641,81,"Miguel Arteta","Steve Carell,Jennifer Garner,Ed Oxenbould,Dylan Minnette,Kerris Dorsey,Elise Vargas,Zoey Vargas,Sidney Fullmer,Bella Thorne,Megan Mullally,Miguel Arteta,Rob Lieber,Rob Lieber,Judith Viorst",
760,"Disc Title","Alias: The Complete Fifth Season",786936700763,"DVD",2005,tt0285333,760,"Karen Gaviola","Jennifer Garner,Ron Rifkin,Carl Lumbly,Kevin Weisman,Victor Garber,Michael Vartan,Greg Grunberg,David Anders,Merrin Dungey,Bradley Cooper,Karen Gaviola",
756,"Disc Title","Alias: The Complete First Series",5017188888752,"DVD",2001,tt0285333,865,"Ken Olin","Kevin McCorkle,Cosimo Fusco,Yvonne Farrow,David St. James,Michael Halsey,Ming Lo,Daniel Betances,Jennifer Tung,Soren Hellerup,Cole Peterson,Ken Olin",
759,"Disc Title","Alias: The Complete Fourth Series",8717418076023,"DVD",2004,tt0285333,900,"Ken Olin","Jennifer Garner,Michael Vartan,Victor Garber,Ron Rifkin,Carl Lumbly,Kevin Weisman,David Anders,Shelley Atkinson,Jules Dejongh,Rick Dempsey,Ken Olin",
757,"Disc Title","Alias: The Complete Second Season",786936227918,"DVD",2002,tt0285333,917,"Karen Gaviola","Jennifer Garner,Ron Rifkin,Carl Lumbly,Kevin Weisman,Victor Garber,Michael Vartan,Greg Grunberg,David Anders,Merrin Dungey,Bradley Cooper,Karen Gaviola",
758,"Disc Title","Alias: The Complete Third Season",786936242416,"DVD",2003,tt0285333,968,"Karen Gaviola","Jennifer Garner,Ron Rifkin,Carl Lumbly,Kevin Weisman,Victor Garber,Michael Vartan,Greg Grunberg,David Anders,Merrin Dungey,Bradley Cooper,Karen Gaviola",
1407,"Disc Title","Alice Through The Looking Glass",786936850901,"DVD",2016,tt2567026,113,"James Bobin","Johnny Depp,Mia Wasikowska,Helena Bonham Carter,Anne Hathaway,Sacha Baron Cohen,Rhys Ifans,Matt Lucas,Lindsay Duncan,Leo Bill,Geraldine James,James Bobin,Linda Woolverton ,Lewis Carroll",
630,"Disc Title","Alice in Wonderland",786936797985,"DVD",2010,tt1014759,108,"Tim Burton","Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Anne Hathaway,Crispin Glover,Matt Lucas,Stephen Fry,Michael Sheen,Alan Rickman,Barbara Windsor,Tim Burton",
1301,"Disc Title","Alien",086162000751,"DVD",1979,tt0078748,116,"Ridley Scott","Tom Skerritt,Sigourney Weaver ,Veronica Cartwright,Harry Dean Stanton,John Hurt,Ian Holm,Yaphet Kotto,Bolaji Badejo,Helen Horton,Eddie Powell,Ridley Scott,Dan O'Bannon,Ronald Shusett",
741,"Disc Title","Alien vs. Predator",024543157090,"DVD",2004,tt0370263,100,"Paul W.S. Anderson","Sanaa Lathan,Raoul Bova,Lance Henriksen,Ewen Bremner,Colin Salmon,Tommy Flanagan,Joseph Rye,Agathe De La Boulaye,Carsten Norgaard,Sam Troughton,Paul W.S. Anderson",
